model	rho	rep	v_recovery	parcel	kappa
MixVMF (K = 11)	0.2	5	0.9950246810913086	4	11.854357719421387
MixVMF (K = 11)	0.2	5	0.9950246810913086	5	11.854357719421387
MixVMF (K = 11)	0.2	5	0.9950246810913086	6	11.854357719421387
MixVMF (K = 11)	0.2	5	0.9950246810913086	7	11.854357719421387
MixVMF (K = 11)	0.2	5	0.9950246810913086	8	11.854357719421387
MixVMF (K = 11)	0.2	5	0.9950246810913086	9	11.854357719421387
MixVMF (K = 11)	0.2	5	0.9950246810913086	10	11.854357719421387
MixVMF (K = 11)	0.2	6	0.9943000078201294	0	11.184976577758789
MixVMF (K = 11)	0.2	6	0.9943000078201294	1	11.184976577758789
MixVMF (K = 11)	0.2	6	0.9943000078201294	2	11.184976577758789
MixVMF (K = 11)	0.2	6	0.9943000078201294	3	11.184976577758789
MixVMF (K = 11)	0.2	6	0.9943000078201294	4	11.184976577758789
MixVMF (K = 11)	0.2	6	0.9943000078201294	5	11.184976577758789
MixVMF (K = 11)	0.2	6	0.9943000078201294	6	11.184976577758789
MixVMF (K = 11)	0.2	6	0.9943000078201294	7	11.184976577758789
MixVMF (K = 11)	0.2	6	0.9943000078201294	8	11.184976577758789
MixVMF (K = 11)	0.2	6	0.9943000078201294	9	11.184976577758789
MixVMF (K = 11)	0.2	6	0.9943000078201294	10	11.184976577758789
MixVMF (K = 11)	0.2	7	0.9931005239486694	0	11.91679573059082
MixVMF (K = 11)	0.2	7	0.9931005239486694	1	11.91679573059082
MixVMF (K = 11)	0.2	7	0.9931005239486694	2	11.91679573059082
MixVMF (K = 11)	0.2	7	0.9931005239486694	3	11.91679573059082
MixVMF (K = 11)	0.2	7	0.9931005239486694	4	11.91679573059082
MixVMF (K = 11)	0.2	7	0.9931005239486694	5	11.91679573059082
MixVMF (K = 11)	0.2	7	0.9931005239486694	6	11.91679573059082
MixVMF (K = 11)	0.2	7	0.9931005239486694	7	11.91679573059082
MixVMF (K = 11)	0.2	7	0.9931005239486694	8	11.91679573059082
MixVMF (K = 11)	0.2	7	0.9931005239486694	9	11.91679573059082
MixVMF (K = 11)	0.2	7	0.9931005239486694	10	11.91679573059082
MixVMF (K = 11)	0.2	8	0.9935351610183716	0	11.948941230773926
MixVMF (K = 11)	0.2	8	0.9935351610183716	1	11.948941230773926
MixVMF (K = 11)	0.2	8	0.9935351610183716	2	11.948941230773926
